time,season,wind_north,wind_south,solar_north,solar_south
2025-01-01 00:00:00,winter,0.94785,0.14106,0.0,0.0
2025-01-01 03:00:00,winter,0.94987,0.15928,0.0,0.0
2025-01-01 06:00:00,winter,0.94988,0.16842,0.02569,0.02166
2025-01-01 09:00:00,winter,0.94499,0.13953,0.33476,0.48315
2025-01-01 12:00:00,winter,0.94746,0.13225,0.23406,0.54942
2025-01-01 15:00:00,winter,0.94999,0.13734,0.0,0.15892
2025-01-01 18:00:00,winter,0.94993,0.15464,0.0,0.0
2025-01-01 21:00:00,winter,0.94927,0.1067,0.0,0.0
2025-01-02 00:00:00,winter,0.94791,0.07319,0.0,0.0
2025-01-02 03:00:00,winter,0.88016,0.05189,0.0,0.0
2025-01-02 06:00:00,winter,0.79125,0.02825,0.0,0.02258
2025-01-02 09:00:00,winter,0.67201,0.0,0.04954,0.47775
2025-01-02 12:00:00,winter,0.90432,0.0,0.03144,0.54034
2025-01-02 15:00:00,winter,0.94999,0.0,0.0,0.15244
2025-01-02 18:00:00,winter,0.94918,0.01701,0.0,0.0
2025-01-02 21:00:00,winter,0.93661,0.0171,0.0,0.0
2025-01-03 00:00:00,winter,0.69027,0.02636,0.0,0.0
2025-01-03 03:00:00,winter,0.75724,0.03337,0.0,0.0
2025-01-03 06:00:00,winter,0.89375,0.02962,0.0,0.02123
2025-01-03 09:00:00,winter,0.93142,0.01808,0.01679,0.37931
2025-01-03 12:00:00,winter,0.94476,0.02831,0.01265,0.39879
2025-01-03 15:00:00,winter,0.94906,0.03594,0.0,0.11518
2025-01-03 18:00:00,winter,0.95,0.04307,0.0,0.0
2025-01-03 21:00:00,winter,0.95,0.0324,0.0,0.0
2025-01-04 00:00:00,winter,0.94449,0.03238,0.0,0.0
2025-01-04 03:00:00,winter,0.94575,0.03705,0.0,0.0
2025-01-04 06:00:00,winter,0.91668,0.05305,0.01674,0.01909
2025-01-04 09:00:00,winter,0.75438,0.04868,0.05815,0.28115
2025-01-04 12:00:00,winter,0.71918,0.07006,0.02806,0.31881
2025-01-04 15:00:00,winter,0.63877,0.06825,0.0,0.10234
2025-01-04 18:00:00,winter,0.80993,0.08153,0.0,0.0
2025-01-04 21:00:00,winter,0.81974,0.07197,0.0,0.0
2025-01-05 00:00:00,winter,0.5781,0.06597,0.0,0.0
2025-01-05 03:00:00,winter,0.27566,0.0551,0.0,0.0
2025-01-05 06:00:00,winter,0.32461,0.03791,0.03521,0.02212
2025-01-05 09:00:00,winter,0.45423,0.03582,0.38635,0.35615
2025-01-05 12:00:00,winter,0.35866,0.07796,0.2505,0.3634
2025-01-05 15:00:00,winter,0.33766,0.07273,0.0,0.09493
2025-01-05 18:00:00,winter,0.44397,0.06589,0.0,0.0
2025-01-05 21:00:00,winter,0.43233,0.05817,0.0,0.0
2025-01-06 00:00:00,winter,0.34156,0.06796,0.0,0.0
2025-01-06 03:00:00,winter,0.26142,0.0848,0.0,0.0
2025-01-06 06:00:00,winter,0.1821,0.10674,0.02601,0.02254
2025-01-06 09:00:00,winter,0.21268,0.10518,0.15193,0.31565
2025-01-06 12:00:00,winter,0.20077,0.15495,0.03941,0.25898
2025-01-06 15:00:00,winter,0.14465,0.17017,0.0,0.05746
2025-01-06 18:00:00,winter,0.19045,0.23285,0.0,0.0
2025-01-06 21:00:00,winter,0.21263,0.24356,0.0,0.0
2025-01-07 00:00:00,winter,0.20469,0.20772,0.0,0.0
2025-01-07 03:00:00,winter,0.17064,0.20208,0.0,0.0
2025-01-07 06:00:00,winter,0.15013,0.22563,0.0336,0.01895
2025-01-07 09:00:00,winter,0.14814,0.274,0.28312,0.32804
2025-01-07 12:00:00,winter,0.1444,0.35537,0.12752,0.37409
2025-01-07 15:00:00,winter,0.15004,0.30928,0.0,0.12513
2025-01-07 18:00:00,winter,0.17718,0.25881,0.0,0.0
2025-01-07 21:00:00,winter,0.27165,0.23317,0.0,0.0
2025-01-08 00:00:00,spring,0.47937,0.05246,0.0,0.0
2025-01-08 03:00:00,spring,0.37152,0.07455,0.0,0.0
2025-01-08 06:00:00,spring,0.34071,0.12835,0.37664,0.14002
2025-01-08 09:00:00,spring,0.38838,0.19069,0.67297,0.46399
2025-01-08 12:00:00,spring,0.44024,0.36009,0.58485,0.49653
2025-01-08 15:00:00,spring,0.48541,0.46013,0.18319,0.24325
2025-01-08 18:00:00,spring,0.5739,0.23863,0.0,0.0
2025-01-08 21:00:00,spring,0.59734,0.10434,0.0,0.0
2025-01-09 00:00:00,spring,0.52618,0.06154,0.0,0.0
2025-01-09 03:00:00,spring,0.41788,0.04494,0.0,0.0
2025-01-09 06:00:00,spring,0.36496,0.0257,0.33552,0.16739
2025-01-09 09:00:00,spring,0.40884,0.01297,0.61349,0.6132
2025-01-09 12:00:00,spring,0.50993,0.02724,0.57031,0.64445
2025-01-09 15:00:00,spring,0.68433,0.06182,0.18266,0.30409
2025-01-09 18:00:00,spring,0.84672,0.13067,0.0,0.0
2025-01-09 21:00:00,spring,0.86715,0.19857,0.0,0.0
2025-01-10 00:00:00,spring,0.76109,0.23119,0.0,0.0
2025-01-10 03:00:00,spring,0.58709,0.25349,0.0,0.0
2025-01-10 06:00:00,spring,0.36894,0.23747,0.38193,0.13075
2025-01-10 09:00:00,spring,0.29263,0.27485,0.6835,0.44183
2025-01-10 12:00:00,spring,0.33501,0.3777,0.58046,0.40882
2025-01-10 15:00:00,spring,0.35895,0.39295,0.1809,0.13601
2025-01-10 18:00:00,spring,0.48184,0.25383,0.0,0.0
2025-01-10 21:00:00,spring,0.55461,0.17363,0.0,0.0
2025-01-11 00:00:00,spring,0.5323,0.11571,0.0,0.0
2025-01-11 03:00:00,spring,0.46661,0.07689,0.0,0.0
2025-01-11 06:00:00,spring,0.36703,0.0598,0.38825,0.06721
2025-01-11 09:00:00,spring,0.34534,0.05835,0.68609,0.21992
2025-01-11 12:00:00,spring,0.38317,0.14124,0.59198,0.25373
2025-01-11 15:00:00,spring,0.39862,0.16796,0.1848,0.11446
2025-01-11 18:00:00,spring,0.46048,0.16861,0.0,0.0
2025-01-11 21:00:00,spring,0.46524,0.19601,0.0,0.0
2025-01-12 00:00:00,spring,0.51154,0.20789,0.0,0.0
2025-01-12 03:00:00,spring,0.45429,0.17705,0.0,0.0
2025-01-12 06:00:00,spring,0.27614,0.19223,0.39028,0.09271
2025-01-12 09:00:00,spring,0.17933,0.23615,0.6917,0.27524
2025-01-12 12:00:00,spring,0.1671,0.32085,0.59986,0.27501
2025-01-12 15:00:00,spring,0.12694,0.35602,0.18978,0.13389
2025-01-12 18:00:00,spring,0.09737,0.33968,0.0,0.0
2025-01-12 21:00:00,spring,0.05486,0.29189,0.0,0.0
2025-01-13 00:00:00,spring,0.03051,0.31415,0.0,0.0
2025-01-13 03:00:00,spring,0.02258,0.36303,0.0,0.0
2025-01-13 06:00:00,spring,0.01242,0.37296,0.37617,0.10731
2025-01-13 09:00:00,spring,0.0,0.41119,0.67611,0.37357
2025-01-13 12:00:00,spring,0.0,0.48161,0.59386,0.37294
2025-01-13 15:00:00,spring,0.01073,0.43923,0.19015,0.17373
2025-01-13 18:00:00,spring,0.02563,0.40056,0.0,0.0
2025-01-13 21:00:00,spring,0.02324,0.29433,0.0,0.0
2025-01-14 00:00:00,spring,0.02105,0.21207,0.0,0.0
2025-01-14 03:00:00,spring,0.02928,0.1794,0.0,0.0
