time,season,north,south
2025-01-01 00:00:00,winter,25123.4,37056.8
2025-01-01 03:00:00,winter,28101.0,36338.6
2025-01-01 06:00:00,winter,38618.1,53923.2
2025-01-01 09:00:00,winter,38689.0,58318.1
2025-01-01 12:00:00,winter,37443.9,55052.9
2025-01-01 15:00:00,winter,40737.4,53690.7
2025-01-01 18:00:00,winter,35763.6,58642.5
2025-01-01 21:00:00,winter,28732.1,49352.8
2025-01-02 00:00:00,winter,26073.9,39057.2
2025-01-02 03:00:00,winter,28939.0,37702.1
2025-01-02 06:00:00,winter,39374.1,53813.8
2025-01-02 09:00:00,winter,40327.6,57670.6
2025-01-02 12:00:00,winter,38929.6,54431.9
2025-01-02 15:00:00,winter,40430.1,53622.6
2025-01-02 18:00:00,winter,34793.3,58629.1
2025-01-02 21:00:00,winter,27924.6,49374.4
2025-01-03 00:00:00,winter,25355.3,39047.9
2025-01-03 03:00:00,winter,28030.8,37498.9
2025-01-03 06:00:00,winter,38268.8,53657.3
2025-01-03 09:00:00,winter,39159.3,57580.7
2025-01-03 12:00:00,winter,38771.2,54742.1
2025-01-03 15:00:00,winter,40381.7,53716.2
2025-01-03 18:00:00,winter,35026.5,58006.2
2025-01-03 21:00:00,winter,28361.1,49007.0
2025-01-04 00:00:00,winter,24980.9,39070.0
2025-01-04 03:00:00,winter,26886.6,37397.5
2025-01-04 06:00:00,winter,37414.4,53011.7
2025-01-04 09:00:00,winter,38807.3,57275.1
2025-01-04 12:00:00,winter,38349.7,55377.0
2025-01-04 15:00:00,winter,40218.6,54561.1
2025-01-04 18:00:00,winter,34946.4,58504.0
2025-01-04 21:00:00,winter,28573.7,49435.3
2025-01-05 00:00:00,winter,26060.8,38873.5
2025-01-05 03:00:00,winter,28540.1,36836.2
2025-01-05 06:00:00,winter,38748.4,52996.6
2025-01-05 09:00:00,winter,37821.1,57647.5
2025-01-05 12:00:00,winter,34941.9,54757.4
2025-01-05 15:00:00,winter,38025.1,53305.7
2025-01-05 18:00:00,winter,32814.6,56137.0
2025-01-05 21:00:00,winter,27649.4,48729.0
2025-01-06 00:00:00,winter,24466.3,38770.3
2025-01-06 03:00:00,winter,24240.5,33965.4
2025-01-06 06:00:00,winter,30402.2,41353.9
2025-01-06 09:00:00,winter,33041.9,50987.5
2025-01-06 12:00:00,winter,31735.1,49541.9
2025-01-06 15:00:00,winter,35722.5,46833.2
2025-01-06 18:00:00,winter,31449.5,50847.8
2025-01-06 21:00:00,winter,27331.3,45653.2
2025-01-07 00:00:00,winter,24484.3,36073.8
2025-01-07 03:00:00,winter,23802.2,31552.4
2025-01-07 06:00:00,winter,29062.2,35402.4
2025-01-07 09:00:00,winter,31423.9,45079.9
2025-01-07 12:00:00,winter,30652.3,45856.6
2025-01-07 15:00:00,winter,35528.1,42810.1
2025-01-07 18:00:00,winter,31608.9,49785.3
2025-01-07 21:00:00,winter,26241.6,45357.2
2025-01-08 00:00:00,spring,23000.2,34021.0
2025-01-08 03:00:00,spring,27811.0,39105.6
2025-01-08 06:00:00,spring,34681.7,49468.3
2025-01-08 09:00:00,spring,34554.2,51936.9
2025-01-08 12:00:00,spring,31762.8,49123.7
2025-01-08 15:00:00,spring,31208.7,47150.2
2025-01-08 18:00:00,spring,28477.8,49382.3
2025-01-08 21:00:00,spring,24628.4,41385.8
2025-01-09 00:00:00,spring,23722.7,36280.0
2025-01-09 03:00:00,spring,27941.3,40114.3
2025-01-09 06:00:00,spring,34371.6,49461.0
2025-01-09 09:00:00,spring,34286.3,51295.9
2025-01-09 12:00:00,spring,32347.4,48387.4
2025-01-09 15:00:00,spring,31759.2,46048.9
2025-01-09 18:00:00,spring,28878.5,48174.4
2025-01-09 21:00:00,spring,24287.8,41180.6
2025-01-10 00:00:00,spring,23240.3,36372.0
2025-01-10 03:00:00,spring,28027.0,39917.7
2025-01-10 06:00:00,spring,34577.6,49143.1
2025-01-10 09:00:00,spring,34012.3,51252.8
2025-01-10 12:00:00,spring,31423.8,48183.7
2025-01-10 15:00:00,spring,30808.9,46274.2
2025-01-10 18:00:00,spring,28347.9,47651.3
2025-01-10 21:00:00,spring,23624.5,39736.1
2025-01-11 00:00:00,spring,21780.0,33106.8
2025-01-11 03:00:00,spring,23004.8,32834.9
2025-01-11 06:00:00,spring,27916.1,39190.7
2025-01-11 09:00:00,spring,27665.5,43790.1
2025-01-11 12:00:00,spring,26108.7,40998.6
2025-01-11 15:00:00,spring,27090.5,38593.6
2025-01-11 18:00:00,spring,26022.0,41953.0
2025-01-11 21:00:00,spring,22266.4,36773.5
2025-01-12 00:00:00,spring,20629.4,31127.0
2025-01-12 03:00:00,spring,22110.3,29815.0
2025-01-12 06:00:00,spring,27262.2,34197.3
2025-01-12 09:00:00,spring,26960.5,39059.9
2025-01-12 12:00:00,spring,25490.1,37112.2
2025-01-12 15:00:00,spring,26680.0,35129.1
2025-01-12 18:00:00,spring,25295.3,39687.3
2025-01-12 21:00:00,spring,22025.0,35424.2
2025-01-13 00:00:00,spring,20731.8,30338.3
2025-01-13 03:00:00,spring,22307.5,30006.1
2025-01-13 06:00:00,spring,27116.3,36970.9
2025-01-13 09:00:00,spring,26837.3,41940.8
2025-01-13 12:00:00,spring,25478.2,39716.0
2025-01-13 15:00:00,spring,26727.5,37547.2
2025-01-13 18:00:00,spring,25132.4,41550.1
2025-01-13 21:00:00,spring,21699.3,35958.0
2025-01-14 00:00:00,spring,20402.2,29330.9
2025-01-14 03:00:00,spring,21416.1,28061.9
2025-01-14 06:00:00,spring,26147.9,33051.9
2025-01-14 09:00:00,spring,26067.5,38464.3
2025-01-14 12:00:00,spring,24702.2,36797.5
2025-01-14 15:00:00,spring,26172.8,35044.8
2025-01-14 18:00:00,spring,24823.9,40373.7
2025-01-14 21:00:00,spring,21272.0,35098.6
2025-01-15 00:00:00,summer,20375.6,37777.4
2025-01-15 03:00:00,summer,24690.9,42048.6
2025-01-15 06:00:00,summer,32440.7,53735.5
2025-01-15 09:00:00,summer,32866.7,59592.5
2025-01-15 12:00:00,summer,31360.8,59726.9
2025-01-15 15:00:00,summer,31626.4,58116.0
2025-01-15 18:00:00,summer,27594.9,55188.5
2025-01-15 21:00:00,summer,23326.7,47348.0
2025-01-16 00:00:00,summer,21302.3,41479.1
2025-01-16 03:00:00,summer,25600.1,44156.0
2025-01-16 06:00:00,summer,32272.3,54343.3
2025-01-16 09:00:00,summer,32745.7,59892.4
2025-01-16 12:00:00,summer,31341.4,59738.1
2025-01-16 15:00:00,summer,31592.5,57561.6
2025-01-16 18:00:00,summer,27832.8,54324.5
2025-01-16 21:00:00,summer,23367.3,46743.0
2025-01-17 00:00:00,summer,21450.1,41094.4
2025-01-17 03:00:00,summer,25459.4,44134.3
2025-01-17 06:00:00,summer,32255.5,54309.7
2025-01-17 09:00:00,summer,32258.9,59365.3
2025-01-17 12:00:00,summer,30847.3,58556.3
2025-01-17 15:00:00,summer,30906.0,56370.1
2025-01-17 18:00:00,summer,27144.3,53184.9
2025-01-17 21:00:00,summer,22707.2,45836.9
2025-01-18 00:00:00,summer,20898.8,40665.5
2025-01-18 03:00:00,summer,24487.7,43718.1
2025-01-18 06:00:00,summer,31346.2,53885.5
2025-01-18 09:00:00,summer,31915.2,59517.1
2025-01-18 12:00:00,summer,30679.6,59577.5
2025-01-18 15:00:00,summer,31189.1,57874.1
2025-01-18 18:00:00,summer,27137.3,55099.8
2025-01-18 21:00:00,summer,22610.2,47548.5
2025-01-19 00:00:00,summer,20952.0,41636.2
2025-01-19 03:00:00,summer,24816.6,44383.2
2025-01-19 06:00:00,summer,31555.2,54883.6
2025-01-19 09:00:00,summer,31774.8,60970.7
2025-01-19 12:00:00,summer,29967.1,60579.6
2025-01-19 15:00:00,summer,29497.6,58408.2
2025-01-19 18:00:00,summer,25578.6,55008.3
2025-01-19 21:00:00,summer,21854.3,47893.6
2025-01-20 00:00:00,summer,19693.5,41372.1
2025-01-20 03:00:00,summer,20719.5,39959.6
2025-01-20 06:00:00,summer,25837.7,46763.5
2025-01-20 09:00:00,summer,26756.1,53299.8
2025-01-20 12:00:00,summer,25996.9,53178.5
2025-01-20 15:00:00,summer,27504.9,51255.9
2025-01-20 18:00:00,summer,24733.9,50762.9
2025-01-20 21:00:00,summer,20784.4,44569.4
2025-01-21 00:00:00,summer,19127.1,38300.6
2025-01-21 03:00:00,summer,19766.4,36388.3
2025-01-21 06:00:00,summer,24653.9,40584.2
2025-01-21 09:00:00,summer,26549.2,47244.6
2025-01-21 12:00:00,summer,26657.8,49232.6
2025-01-21 15:00:00,summer,27809.0,47879.9
2025-01-21 18:00:00,summer,24616.4,49799.1
2025-01-21 21:00:00,summer,20799.2,45589.0
2025-01-22 00:00:00,autumn,22646.9,32838.0
2025-01-22 03:00:00,autumn,28940.5,38863.3
2025-01-22 06:00:00,autumn,35454.7,49620.2
2025-01-22 09:00:00,autumn,35646.4,52144.3
2025-01-22 12:00:00,autumn,34172.4,49642.4
2025-01-22 15:00:00,autumn,35966.0,48845.8
2025-01-22 18:00:00,autumn,30325.8,49312.1
2025-01-22 21:00:00,autumn,24443.9,39237.5
2025-01-23 00:00:00,autumn,23501.6,34695.0
2025-01-23 03:00:00,autumn,29567.7,38691.2
2025-01-23 06:00:00,autumn,36082.0,47683.7
2025-01-23 09:00:00,autumn,35782.8,49470.6
2025-01-23 12:00:00,autumn,34253.0,46914.4
2025-01-23 15:00:00,autumn,35649.4,46281.9
2025-01-23 18:00:00,autumn,30377.6,48187.2
